text;sentiment
هذا المنتج رائع جداً، أنصح به بشدة;positive
تجربة سيئة للغاية، لن أكررها;negative
منتج عادي، لا شيء مميز فيه;neutral
أفضل خدمة عملاء تعاملت معها;positive
تأخير في التوصيل وجودة سيئة;negative
السعر مناسب والجودة مقبولة;neutral
أحببت التصميم والألوان الزاهية;positive
لا يعمل كما هو معلن عنه;negative
مجرد منتج آخر في السوق;neutral
فاقت توقعاتي، شكراً لكم;positive
خامة رديئة ولا تستحق السعر;negative
التغليف كان جيداً والتوصيل سريع;neutral
سأعود للشراء من هذا المتجر مرة أخرى;positive
تطبيق معقد وصعب الاستخدام;negative
لم أقرر بعد إذا كان جيداً أم لا;neutral
